symbol,name,dimension,isSI,category,baseUnit,conversionRef,isExact,A,B,C,D,underlyingDef,description
deltaK/m,delta kelvin per metre,D/L,true,derived,IS-BASE,,,,,,,,
deltaC/h,delta Celsius per hour,D/T,true,derived,deltaK/s,DERIVED,true,0,1,3600,0,,
deltaC/min,delta Celsius per minute,D/T,true,derived,deltaK/s,DERIVED,true,0,1,60,0,,
deltaC/s,delta Celsius per second,D/T,true,derived,deltaK/s,DERIVED,true,0,1,1,0,,
deltaF/h,delta Fahrenheit per hour,D/T,false,derived,deltaK/s,DERIVED,true,0,5,3.24E4,0,,
deltaF/min,delta Fahrenheit per minute,D/T,false,derived,deltaK/s,DERIVED,true,0,5,540,0,,
deltaF/s,delta Fahrenheit per second,D/T,false,derived,deltaK/s,DERIVED,true,0,5,9,0,,
deltaK/s,delta kelvin per second,D/T,true,derived,IS-BASE,,,,,,,,
deltaC/kPa,delta Celsius per kilopascal,DLT2/M,true,derived,deltaK/Pa,DERIVED,true,0,1E-3,1,0,,
deltaF/psi,delta Fahrenheit per psi,DLT2/M,false,derived,deltaK/Pa,DERIVED,true,0,3.2258E-3,40.0339945373445,0,,
deltaK/Pa,delta kelvin per Pascal,DLT2/M,true,derived,IS-BASE,,,,,,,,
deltaK/W,delta kelvin per watt,DT3/L2M,true,derived,IS-BASE,,,,,,,,
deltaC.m2.h/kcal[th],delta Celsius square metre hour per thousand calory,DT3/M,false,derived,deltaK.m2/W,DERIVED,true,0,3600,4.184E3,0,,
deltaF.ft2.h/Btu[IT],delta Fahrenheit square foot hour per BTU,DT3/M,false,derived,deltaK.m2/W,DERIVED,true,0,1.67225472E3,9.49550267358E3,0,,
deltaK.m2/kW,delta kelvin square metre per kilowatt,DT3/M,true,derived,deltaK.m2/W,DERIVED,true,0,1E-3,1,0,,
deltaK.m2/W,delta kelvin square metre per watt,DT3/M,true,derived,IS-BASE,,,,,,,,
A,ampere,I,true,atom-base,IS-BASE,,,,,,,,"The ampere is that constant current which, if maintained in two straight parallel conductors of infinite length, of negligible circular cross section, and placed 1 metre apart in vacuum, would produce between these conductors a force equal to 2 x 10**-7 newton per metre of length."
cA,centiampere,I,true,prefixed,A,DERIVED,true,0,0.01,1,0,,
dA,deciampere,I,true,prefixed,A,DERIVED,true,0,0.1,1,0,,
EA,exaampere,I,true,prefixed,A,DERIVED,true,0,1E18,1,0,,
fA,femtoampere,I,true,prefixed,A,DERIVED,true,0,1E-15,1,0,,
GA,gigaampere,I,true,prefixed,A,DERIVED,true,0,1E9,1,0,,
kA,kiloampere,I,true,prefixed,A,DERIVED,true,0,1E3,1,0,,
mA,milliampere,I,true,prefixed,A,DERIVED,true,0,1E-3,1,0,,
MA,megaampere,I,true,prefixed,A,DERIVED,true,0,1E6,1,0,,
nA,nanoampere,I,true,prefixed,A,DERIVED,true,0,1E-9,1,0,,
pA,picoampere,I,true,prefixed,A,DERIVED,true,0,1E-12,1,0,,
TA,teraampere,I,true,prefixed,A,DERIVED,true,0,1E12,1,0,,
uA,microampere,I,true,prefixed,A,DERIVED,true,0,1E-6,1,0,,
Oe,oersted,I/L,false,atom,A/m,NIST-SI,true,0,1000,12.566370614359172,0,,"1 Oe corresponds to (1000/(12.566370614359172)) A/m. This unit is part of the so-called electromagnetic three-dimensional CGS system and cannot strictly speaking be compared to the corresponding SI unit, which has four dimensions when only mechanical and electric quantities are considered."
A/mm,ampere per millimetre,I/L,true,derived,A/m,DERIVED,true,0,1E3,1,0,,
A/m,ampere per metre,I/L,true,derived,IS-BASE,,,,,,,,
A/cm2,ampere per square centimetre,I/L2,true,derived,A/m2,DERIVED,true,0,1E4,1,0,,
A/ft2,ampere per square foot,I/L2,false,derived,A/m2,DERIVED,true,0,1,0.09290304,0,,
A/mm2,ampere per square millimetre,I/L2,true,derived,A/m2,DERIVED,true,0,1E6,1,0,,
mA/cm2,milliampere per square centimetre,I/L2,true,derived,A/m2,DERIVED,true,0,10,1,0,,
mA/ft2,milliampere per square foot,I/L2,false,derived,A/m2,DERIVED,true,0,1E-3,0.09290304,0,,
uA/cm2,microampere per square centimetre,I/L2,true,derived,A/m2,DERIVED,true,0,0.01,1,0,,
uA/in2,microampere per square inch,I/L2,false,derived,A/m2,DERIVED,true,0,1E-6,6.4516E-4,0,,
A/m2,ampere per square metre,I/L2,true,derived,IS-BASE,,,,,,,,
1/H,per henry,I2T2/L2M,true,derived,IS-BASE,,,,,,,,
S,siemens,I2T3/L2M,true,atom-special,IS-BASE,,,,,,,A/V,The electric conductance of a conductor in which a current of 1 A is produced by an electric potential difference of 1 V. Also known as a mho.
cS,centisiemens,I2T3/L2M,true,prefixed,S,DERIVED,true,0,0.01,1,0,,
dS,decisiemens,I2T3/L2M,true,prefixed,S,DERIVED,true,0,0.1,1,0,,
ES,exasiemens,I2T3/L2M,true,prefixed,S,DERIVED,true,0,1E18,1,0,,
fS,femtosiemens,I2T3/L2M,true,prefixed,S,DERIVED,true,0,1E-15,1,0,,
GS,gigasiemens,I2T3/L2M,true,prefixed,S,DERIVED,true,0,1E9,1,0,,
kS,kilosiemens,I2T3/L2M,true,prefixed,S,DERIVED,true,0,1E3,1,0,,
mS,millisiemens,I2T3/L2M,true,prefixed,S,DERIVED,true,0,1E-3,1,0,,
MS,megasiemens,I2T3/L2M,true,prefixed,S,DERIVED,true,0,1E6,1,0,,
nS,nanosiemens,I2T3/L2M,true,prefixed,S,DERIVED,true,0,1E-9,1,0,,
pS,picosiemens,I2T3/L2M,true,prefixed,S,DERIVED,true,0,1E-12,1,0,,
TS,terasiemens,I2T3/L2M,true,prefixed,S,DERIVED,true,0,1E12,1,0,,
uS,microsiemens,I2T3/L2M,true,prefixed,S,DERIVED,true,0,1E-6,1,0,,
S/m,siemens per metre,I2T3/L3M,true,derived,IS-BASE,,,,,,,,
kS/m,kilosiemens per metre,I2T3/L3M,true,derived,S/m,DERIVED,true,0,1E3,1,0,,
mS/cm,millisiemens per centimetre,I2T3/L3M,true,derived,S/m,DERIVED,true,0,0.1,1,0,,
mS/m,millisiemens per metre,I2T3/L3M,true,derived,S/m,DERIVED,true,0,1E-3,1,0,,
F,farad,I2T4/L2M,true,atom-special,IS-BASE,,,,,,,C/V,The capacitance of a capacitor between the plates of which there appears a difference of potential of 1 V when it is charged by a quantity of electricity equal to 1 C.
cF,centifarad,I2T4/L2M,true,prefixed,F,DERIVED,true,0,0.01,1,0,,
dF,decifarad,I2T4/L2M,true,prefixed,F,DERIVED,true,0,0.1,1,0,,
EF,exafarad,I2T4/L2M,true,prefixed,F,DERIVED,true,0,1E18,1,0,,
fF,femtofarad,I2T4/L2M,true,prefixed,F,DERIVED,true,0,1E-15,1,0,,
GF,gigafarad,I2T4/L2M,true,prefixed,F,DERIVED,true,0,1E9,1,0,,
kF,kilofarad,I2T4/L2M,true,prefixed,F,DERIVED,true,0,1E3,1,0,,
mF,millifarad,I2T4/L2M,true,prefixed,F,DERIVED,true,0,1E-3,1,0,,
MF,megafarad,I2T4/L2M,true,prefixed,F,DERIVED,true,0,1E6,1,0,,
nF,nanofarad,I2T4/L2M,true,prefixed,F,DERIVED,true,0,1E-9,1,0,,
pF,picofarad,I2T4/L2M,true,prefixed,F,DERIVED,true,0,1E-12,1,0,,
TF,terafarad,I2T4/L2M,true,prefixed,F,DERIVED,true,0,1E12,1,0,,
uF,microfarad,I2T4/L2M,true,prefixed,F,DERIVED,true,0,1E-6,1,0,,
uF/m,microfarad per metre,I2T4/L3M,true,derived,F/m,DERIVED,true,0,1E-6,1,0,,
F/m,farad per metre,I2T4/L3M,true,derived,IS-BASE,,,,,,,,
A.m2,ampere square metre,IL2,true,derived,IS-BASE,,,,,,,,
C.m,coulomb metre,ILT,true,derived,IS-BASE,,,,,,,,
C,coulomb,IT,true,atom-special,IS-BASE,,,,,,,,"The time integral of electric current, equal to 1 A.s"
A.h,ampere hour,IT,true,derived,C,DERIVED,true,0,3600,1,0,,
A.s,ampere second,IT,true,derived,C,DERIVED,true,0,1,1,0,,
cC,centicoulomb,IT,true,prefixed,C,DERIVED,true,0,0.01,1,0,,
dC,decicoulomb,IT,true,prefixed,C,DERIVED,true,0,0.1,1,0,,
EC,exacoulomb,IT,true,prefixed,C,DERIVED,true,0,1E18,1,0,,
fC,femtocoulomb,IT,true,prefixed,C,DERIVED,true,0,1E-15,1,0,,
GC,gigacoulomb,IT,true,prefixed,C,DERIVED,true,0,1E9,1,0,,
kC,kilocoulomb,IT,true,prefixed,C,DERIVED,true,0,1E3,1,0,,
mC,millicoulomb,IT,true,prefixed,C,DERIVED,true,0,1E-3,1,0,,
MC,megacoulomb,IT,true,prefixed,C,DERIVED,true,0,1E6,1,0,,
nC,nanocoulomb,IT,true,prefixed,C,DERIVED,true,0,1E-9,1,0,,
pC,picocoulomb,IT,true,prefixed,C,DERIVED,true,0,1E-12,1,0,,
TC,teracoulomb,IT,true,prefixed,C,DERIVED,true,0,1E12,1,0,,
uC,microcoulomb,IT,true,prefixed,C,DERIVED,true,0,1E-6,1,0,,
C/cm2,coulomb per square centimetre,IT/L2,true,derived,C/m2,DERIVED,true,0,1E4,1,0,,
C/mm2,coulomb per square millimetre,IT/L2,true,derived,C/m2,DERIVED,true,0,1E6,1,0,,
mC/m2,millicoulomb per square metre,IT/L2,true,derived,C/m2,DERIVED,true,0,1E-3,1,0,,
C/m2,coulomb per square metre,IT/L2,true,derived,IS-BASE,,,,,,,,
A.s/m3,ampere second per cubic metre,IT/L3,true,derived,C/m3,DERIVED,true,0,1,1,0,,
C/cm3,coulomb per cubic centimetre,IT/L3,true,derived,C/m3,DERIVED,true,0,1E6,1,0,,
C/mm3,coulomb per cubic millimetre,IT/L3,true,derived,C/m3,DERIVED,true,0,1E9,1,0,,
C/m3,coulomb per cubic metre,IT/L3,true,derived,IS-BASE,,,,,,,,
A.s/kg,ampere second per kilogram,IT/M,true,derived,C/kg,DERIVED,true,0,1,1,0,,
C/g,coulomb per gram,IT/M,true,derived,C/kg,DERIVED,true,0,1E3,1,0,,
C/kg,coulomb per kilogram,IT/M,true,derived,IS-BASE,,,,,,,,
1/uV,per microvolt,IT3/L2M,true,derived,1/V,DERIVED,true,0,1E6,1,0,,
1/V,per volt,IT3/L2M,true,derived,IS-BASE,,,,,,,,
cd,candela,J,true,atom-base,IS-BASE,,,,,,,,"The candela is the luminous intensity, in a given direction, of a source that emits monochromatic radiation of frequency 540 X 10**12 hertz and that has a radian intensity in that direction of 1/683 watt per steradian."
kcd,kilocandela,J,true,prefixed,cd,DERIVED,true,0,1E3,1,0,,
cd/m2,candela per square metre,J/L2,true,derived,IS-BASE,,,,,,,,
lm,lumen,JS,true,atom-special,IS-BASE,,,,,,,cd.sr,The luminous flux emitted in a solid angle of 1 sr by a point source having a uniform intensity of 1 cd.
lx,lux,JS/L2,true,atom-special,IS-BASE,,,,,,,lm/m2,The illuminance produced by a luminous flux of 1 lm uniformly distributed over a surface of 1 m2.
footcandle,footcandle,JS/L2,false,atom,lx,DEFINITION,true,0,1,0.09290304,0,lm/ft2,"A unit of illuminance on a surface that is everywhere one foot from a uniform point source of light of one candle and equal to one lumen per square foot (from www.merriam-webster.com). To convert to Lux, convert the square foot component to square meter (i.e., 1/( 0.3048)**2)."
lm/m2,lumen per square metre,JS/L2,true,derived,lx,DERIVED,true,0,1,1,0,,
klx,kilolux,JS/L2,true,prefixed,lx,DERIVED,true,0,1E3,1,0,,
lm.s,lumen second,JST,true,derived,IS-BASE,,,,,,,,Also known as a talbot.
lx.s,lux second,JST/L2,true,derived,IS-BASE,,,,,,,,
footcandle.s,footcandle second,JST/L2,false,derived,lx.s,DERIVED,true,0,1,0.09290304,0,,
lm/W,lumen per watt,JST3/L2M,true,derived,IS-BASE,,,,,,,,
K,degree kelvin,K,true,atom-base,IS-BASE,,,,,,,,"The kelvin, unit of thermodynamic temperature, is the fraction 1/273.16 of the thermodynamic temperature of the triple point of water."
degC,degree Celsius,K,true,atom-special,K,NIST-SI,true,273.15,1,1,0,,Kelvin minus 273.15
degF,degree Fahrenheit,K,false,atom,K,NIST-SI,true,2298.35,5,9,0,,Kelvin=(Fahrenheit + 459.67)(5/9)
degR,degree Rankine,K,false,atom,K,NIST-SI,true,0,5,9,0,,Kelvin=(Rankin)(5/9)
m,metre,L,true,atom-base,IS-BASE,,,,,,,,"The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom. In the US, this is called a meter."
angstrom,angstrom,L,true,atom-allowed,m,NIST-SI,true,0,1E-10,1,0,0.1 nm,The angstrom is widely used by x-ray crystallographers and structural chemists because all chemical bonds lie in the range 1 to 3 angstroms.
chain,chain,L,false,atom,m,EPSG,true,0,20.1168,1,0,66 ft,international chain equal to 22 international yards or 66 international feet. From EPSG.
chain[BnA],British chain [Benoit 1895 A],L,false,atom,m,EPSG,false,0,20.1167824,1,0,66 ft[BnA],66 British foot [Benoit 1895 A]
chain[BnB],British chain [Benoit 1895 B],L,false,atom,m,EPSG,false,0,792,39.370113,0,66 ft[BnB],66 British foot [Benoit 1895 B]
chain[Cla],Clarke chain,L,false,atom,m,EPSG,false,0,20.1166195164,1,0,66 ft[Cla],66 Clarke foot
chain[Ind37],Indian Chain [1937],L,false,atom,m,DEFINITION,false,0,20.11669506,1,0,66 ft[Ind37],66 Indian foot [1937]
chain[Se],British chain [Sears 1922],L,false,atom,m,EPSG,false,0,792,39.370147,0,66 ft[Se],66 British foot [Sears 1922]
chain[SeT],British chain [Sears 1922 truncated],L,false,atom,m,EPSG,true,0,20.116756,1,0,66 ft[SeT],66 British foot [Sears 1922 truncated]
chain[US],US survey chain,L,false,atom,m,EPSG,true,0,792,39.37,0,66 ft[US],66 US survey feet (exactly). Also called Gunter's chain. From NIST-44.
fathom,international fathom,L,false,atom,m,EPSG,true,0,1.8288,1,0,6 ft,6 international foot.
ft,foot,L,false,atom,m,NIST-SI,true,0,0.3048,1,0,1/3 yd,International foot
ft[BnA],British foot [Benoit 1895 A],L,false,atom,m,EPSG,false,0,0.9143992,3,0,,Uses Benoit's 1895 British yard-metre ratio as given by Clark as 0.9143992 metre.s per yard. Used for deriving metric size of ellipsoid in Palestine.
ft[BnB],British foot [Benoit 1895 B],L,false,atom,m,EPSG,false,0,12,39.370113,0,,Uses Benoit's 1895 British yard-metre ratio as given by Bomford as 39.370113 inches per metre. Used in West Malaysian mapping.
ft[Br36],British foot [1936],L,false,atom,m,EPSG,false,0,0.3048007491,1,0,,For the 1936 retriangulation OSGB defines the relationship of 10 feet of 1796 to the International metre through the logarithmic relationship (10^0.48401603 exactly). 1 ft = 0.3048007491...m. Also used for metric conversions in Ireland.
ft[Br65],British foot [1865],L,false,atom,m,EPSG,false,0,0.9144025,3,0,,Uses Clark's estimate of 1853-1865 British foot-metre ratio of 0.9144025 metres per yard. Used in 1962 and 1975 estimates of Indian foot.
ft[Cla],Clarke foot,L,false,atom,m,EPSG,false,0,0.3047972654,1,0,,Assumes Clarke's 1865 ratio of 1 British foot = 0.3047972654 French legal metres applies to the international metre.
ft[GC],Gold Coast foot,L,false,atom,m,EPSG,false,0,6378300,20926201,0,,"Used in Ghana and some adjacent parts of British west Africa prior to metrication, except for the metrication of projection defining parameters when British foot (Sears 1922) used."
ft[Ind],indian foot,L,false,atom,m,EPSG,false,0,12,39.370142,0,,Indian Foot = 0.99999566 British feet (A.R.Clarke 1865). British yard (= 3 British feet) taken to be J.S.Clark's 1865 value of 0.9144025 metres.
ft[Ind37],indian foot [1937],L,false,atom,m,EPSG,false,0,0.30479841,1,0,,Indian Foot = 0.99999566 British feet (A.R.Clarke 1865). British foot taken to be 1895 Benoit value of 12/39.370113m. Rounded to 8 decimal places as 0.30479841. Used from Bangladesh to Vietnam. Previously used in India and Pakistan but superseded.
ft[Ind62],indian foot ]1962],L,false,atom,m,EPSG,false,0,0.3047996,1,0,,Indian Foot = 0.99999566 British feet (A.R.Clarke 1865). British yard (3 feet) taken to be J.S. Clark's 1865 value of 0.9144025m. Rounded to 7 significant figures with a small error as 1 Ind ft=0.3047996m. Used in Pakistan since metrication.
ft[Ind75],indian foot [1975],L,false,atom,m,EPSG,false,0,0.3047995,1,0,,Indian Foot = 0.99999566 British feet (A.R.Clarke 1865). British yard (3 feet) taken to be J.S. Clark's 1865 value of 0.9144025m. Rounded to 7 significant figures as 1 Ind ft=0.3047995m. Used in India since metrication.
ft[Se],British foot [Sears 1922],L,false,atom,m,EPSG,false,0,12,39.370147,0,,Uses Sear's 1922 British yard-metre ratio as given by Bomford as 39.370147 inches per metre. Used in East Malaysian and older New Zealand mapping.
ft[SeT],British foot [Sears 1922 truncated],L,false,atom,m,EPSG,true,0,0.914398,3,0,,"Uses Sear's 1922 British yard-metre ratio (UoM code 9040) truncated to 6 significant figures; this truncated ratio (0.914398, UoM code 9099) then converted to other imperial units. 3 ftSe(T) = 1 ydSe(T)."
ft[US],US survey foot,L,false,atom,m,NIST-SI,true,0,1200,3937,0,1200/3937 m,Used in USA.
fur[US],furlong US survey,L,false,atom,m,NIST-44,true,0,792000,3937,0,660 ft[US],660 US survey foot (exactly).
in,inch,L,false,atom,m,NIST-SI,true,0,0.0254,1,0,2.54 cm,international inch
in[US],US survey inch,L,false,atom,m,NIST-SI,true,0,100,3937,0,1/12 ft[US],1/12 of US survey foot.
link,link,L,false,atom,m,EPSG,true,0,20.1168,100,0,1/100 chain,66/100 international foot. 1/100 international chain.
link[BnA],British link [Benoit 1895 A],L,false,atom,m,EPSG,false,0,0.201167824,1,0,1/100 chain[BnA],66/100 British foot [Benoit 1895 A]
link[BnB],British link [Benoit 1895 B],L,false,atom,m,EPSG,false,0,7.92,39.370113,0,1/100 chain[BnB],66/100 British foot [Benoit 1895 B]
link[Cla],Clarke link,L,false,atom,m,EPSG,false,0,0.201166195164,1,0,1/100 chain[Cla],66/100 Clarke foot
link[Se],British link [Sears 1922],L,false,atom,m,EPSG,false,0,7.92,39.370147,0,1/100 chain[Se],66/100 British foot [Sears 1922]
link[SeT],British link [Sears 1922 truncated],L,false,atom,m,EPSG,true,0,0.20116756,1,0,1/100 chain[SeT],66/100 British foot (Sears 1922 truncated)
link[US],US survey link,L,false,atom,m,NIST-44,true,0,7.92,39.37,0,1/100 chain[US],US survey link. Equal to 0.66 US survey foot (exactly).
m[Ger],German legal metre,L,false,atom,m,EPSG,false,0,1.0000135965,1,0,,Used in Namibia.
mi,mile,L,false,atom,m,NIST-44,true,0,1609.344,1,0,5280 ft,International mile.
mi[naut],international nautical mile,L,true,atom-allowed,m,NIST-SI,true,0,1852,1,0,1852 m,"The nautical mile is a special unit employed for marine and aerial navigation to express distance. The unit was originally chosen, and continues to be used, because one nautical mile on the surface of the Earth subtends approximately one minute of angle at the centre of the Earth, which is convenient when latitude and longitude are measured in degrees and minutes of angle."
mi[nautUK],United Kingdom nautical mile,L,false,atom,m,UK-1995,true,0,1853,1,0,1853 m,"The Imperial (UK) nautical mile, also known as the Admiralty mile, was defined in terms of the knot, such that one nautical mile was exactly 6,080 international feet (1,853.184 m):[6] it was abandoned in 1970[6] and, for legal purposes, old references to the obsolete unit are now converted to 1,853 metres exactly."
mi[US],US survey mile,L,false,atom,m,NIST-44,true,0,6.336E6,3937,0,5280 ft[US],United States survey mile is 5280 feet survey (exactly). From NIST-55.
mil,mil,L,false,atom,m,NIST-44,true,0,2.54E-5,1,0,1/1000 in,One thousandth of an inch.
rod[US],rod US Survey,L,false,atom,m,NIST-44,true,0,19800,3937,0,16.5 ft[US],16.5 US survey feet (exactly)
yd,yard,L,false,atom,m,NIST-44,true,0,0.9144,1,0,3 ft,International yard.
yd[BnA],British yard [Benoit 1895 A],L,false,atom,m,EPSG,false,0,0.9143992,1,0,3 ft[BnA],3 British foot [Benoit 1895 A]
yd[BnB],British yard [Benoit 1895 B],L,false,atom,m,EPSG,false,0,36,39.370113,0,3 ft[BnB],3 British foot [Benoit 1895 B]
yd[Cla],Clarke yard,L,false,atom,m,EPSG,false,0,0.9143917962,1,0,3 ft[Cla],3 Clark foot.
yd[Ind],Indian yard,L,false,atom,m,EPSG,false,0,36,39.370142,0,3 ft[Ind],3 Indian foot
yd[Ind37],Indian yard [1937],L,false,atom,m,EPSG,false,0,0.91439523,1,0,3 ft[Ind37],3 Indian foot [1937]
yd[Ind62],Indian yard [1962],L,false,atom,m,EPSG,false,0,0.9143988,1,0,3 ft[Ind62],3 Indian foot [1962]
yd[Ind75],Indian yard [1975],L,false,atom,m,EPSG,false,0,0.9143985,1,0,3 ft[Ind75],3 Indian foot [1975]
yd[Se],British yard [Sears 1922],L,false,atom,m,EPSG,false,0,36,39.370147,0,3 ft[Se],3 British foot [Sears 1922]
yd[SeT],British yard [Sears 1922 truncated],L,false,atom,m,EPSG,true,0,0.914398,1,0,3 ft[SeT],3 British foot [Sears 1922 truncated]
yd[US],US survey yard,L,false,atom,m,NIST-SI,true,0,3600,3937,0,3 ft[US],3 US survey foot.
m3/m2,cubic metre per square metre,L,true,derived,IS-BASE,,,,,,,m,
0.1 ft,tenth of foot,L,false,derived,m,DERIVED,true,0,0.03048,1,0,,
0.1 ft[US],tenth of US survey foot,L,false,derived,m,DERIVED,true,0,1200,39370,0,,
0.1 in,tenth of inch,L,false,derived,m,DERIVED,true,0,0.00254,1,0,,
0.1 yd,tenth of yard,L,false,derived,m,DERIVED,true,0,0.09144,1,0,,
1/16 in,sixteenth of inch,L,false,derived,m,DERIVED,true,0,0.0254,16,0,,
1/2 ft,half of Foot,L,false,derived,m,DERIVED,true,0,0.3048,2,0,,
1/32 in,thirty-second of inch,L,false,derived,m,DERIVED,true,0,0.0254,32,0,,
1/64 in,sixty-fourth of inch,L,false,derived,m,DERIVED,true,0,0.0254,64,0,,
10 ft,ten foot,L,false,derived,m,DERIVED,true,0,3.048,1,0,,
10 in,ten inch,L,false,derived,m,DERIVED,true,0,0.254,1,0,,
10 km,10 kilometre,L,false,derived,m,DERIVED,true,0,1E4,1,0,,
100 ft,hundred foot,L,false,derived,m,DERIVED,true,0,30.48,1,0,,
100 km,100 kilometre,L,false,derived,m,DERIVED,true,0,1E5,1,0,,
1000 ft,thousand foot,L,false,derived,m,DERIVED,true,0,304.8,1,0,,
30 ft,thirty foot,L,false,derived,m,DERIVED,true,0,9.144,1,0,,
30 m,thirty metres,L,false,derived,m,DERIVED,true,0,30,1,0,,
1E6 bbl/acre,million barrel per acre,L,false,derived,m3/m2,DERIVED,true,0,2.464298142777857232E12,6.27264E10,0,,
bbl/acre,barrel per acre,L,false,derived,m3/m2,DERIVED,true,0,2.464298142777857232E6,6.27264E10,0,,
ft3/ft2,cubic foot per square foot,L,false,derived,m3/m2,DERIVED,true,0,0.3048,1,0,,
cm,centimetre,L,true,prefixed,m,DERIVED,true,0,0.01,1,0,,
dam,dekametre,L,true,prefixed,m,DERIVED,true,0,10,1,0,,
dm,decimetre,L,true,prefixed,m,DERIVED,true,0,0.1,1,0,,
Em,exametre,L,true,prefixed,m,DERIVED,true,0,1E18,1,0,,
fm,femtometre,L,true,prefixed,m,DERIVED,true,0,1E-15,1,0,,
Gm,gigametre,L,true,prefixed,m,DERIVED,true,0,1E9,1,0,,
hm,hectometre,L,true,prefixed,m,DERIVED,true,0,100,1,0,,
km,kilometre,L,true,prefixed,m,DERIVED,true,0,1E3,1,0,,
Mm,megametre,L,true,prefixed,m,DERIVED,true,0,1E6,1,0,,
mm,millimetre,L,true,prefixed,m,DERIVED,true,0,1E-3,1,0,,
nm,nanometre,L,true,prefixed,m,DERIVED,true,0,1E-9,1,0,,
pm,picometre,L,true,prefixed,m,DERIVED,true,0,1E-12,1,0,,
Tm,terametre,L,true,prefixed,m,DERIVED,true,0,1E12,1,0,,
um,micrometre,L,true,prefixed,m,DERIVED,true,0,1E-6,1,0,,Sometimes called a micron.
m/deltaK,metre per delta kelvin,L/D,true,derived,IS-BASE,,,,,,,,
ft/deltaF,foot per delta Fahrenheit,L/D,false,derived,m/deltaK,DERIVED,true,0,2.7432,5,0,,
m/kg,metre per kilogram,L/M,true,derived,IS-BASE,,,,,,,,
ft/lbm,foot per pound-mass,L/M,false,derived,m/kg,DERIVED,true,0,0.3048,0.45359237,0,,
knot,knot,L/T,true,atom-allowed,m/s,NIST-SI,true,0,1852,3600,0,mi[naut]/h,The knot is defined as one nautical mile per hour.
m/s,metre per second,L/T,true,derived,IS-BASE,,,,,,,,
m3/(s.m2),cubic metre per second square metre,L/T,true,derived,IS-BASE,,,,,,,m/s,
1000 ft/h,thousand foot per hour,L/T,false,derived,m/s,DERIVED,true,0,304.8,3600,0,,
1000 ft/s,thousand foot per second,L/T,false,derived,m/s,DERIVED,true,0,304.8,1,0,,
cm/a,centimetre per julian-year,L/T,false,derived,m/s,DERIVED,true,0,0.01,3.15576E7,0,,
cm/s,centimetre per second,L/T,true,derived,m/s,DERIVED,true,0,0.01,1,0,,
dm/s,decimetre per second,L/T,true,derived,m/s,DERIVED,true,0,0.1,1,0,,
ft/d,foot per day,L/T,false,derived,m/s,DERIVED,true,0,0.3048,86400,0,,
ft/h,foot per hour,L/T,false,derived,m/s,DERIVED,true,0,0.3048,3600,0,,
ft/min,foot per minute,L/T,false,derived,m/s,DERIVED,true,0,0.3048,60,0,,
ft/ms,foot per millisecond,L/T,false,derived,m/s,DERIVED,true,0,304.8,1,0,,
ft/s,foot per second,L/T,false,derived,m/s,DERIVED,true,0,0.3048,1,0,,
ft/us,foot per microsecond,L/T,false,derived,m/s,DERIVED,true,0,304800,1,0,,
in/a,inch per julian-year,L/T,false,derived,m/s,DERIVED,true,0,0.0254,3.15576E7,0,,
in/min,inch per minute,L/T,false,derived,m/s,DERIVED,true,0,0.0254,60,0,,
in/s,inch per second,L/T,false,derived,m/s,DERIVED,true,0,0.0254,1,0,,
km/h,kilometre per hour,L/T,true,derived,m/s,DERIVED,true,0,1,3.6,0,,
km/s,kilometre per second,L/T,true,derived,m/s,DERIVED,true,0,1E3,1,0,,
m/d,metre per day,L/T,true,derived,m/s,DERIVED,true,0,1,86400,0,,
m/h,metre per hour,L/T,true,derived,m/s,DERIVED,true,0,1,3600,0,,
m/min,metre per minute,L/T,true,derived,m/s,DERIVED,true,0,1,60,0,,
m/ms,metre per millisecond,L/T,true,derived,m/s,DERIVED,true,0,1E3,1,0,,
mi/h,mile per hour,L/T,false,derived,m/s,DERIVED,true,0,1609.344,3600,0,,
mil/a,mil per julian-year,L/T,false,derived,m/s,DERIVED,true,0,2.54E-5,3.15576E7,0,,
mm/a,millimetre per julian-year,L/T,false,derived,m/s,DERIVED,true,0,1E-3,3.15576E7,0,,
mm/s,millimetre per second,L/T,true,derived,m/s,DERIVED,true,0,1E-3,1,0,,
nm/s,nanometre per second,L/T,true,derived,m/s,DERIVED,true,0,1E-9,1,0,,
um/s,micrometre per second,L/T,true,derived,m/s,DERIVED,true,0,1E-6,1,0,,
ft3/(min.ft2),cubic foot per minute square foot,L/T,false,derived,m3/(s.m2),DERIVED,true,0,0.3048,60,0,,
ft3/(s.ft2),cubic foot per second square foot,L/T,false,derived,m3/(s.m2),DERIVED,true,0,0.3048,1,0,,
gal[UK]/(h.ft2),UK gallon per hour square foot,L/T,false,derived,m3/(s.m2),DERIVED,true,0,0.00454609,334.450944,0,,
gal[UK]/(h.in2),UK gallon per hour square inch,L/T,false,derived,m3/(s.m2),DERIVED,true,0,0.00454609,2.322576,0,,
gal[UK]/(min.ft2),UK gallon per minute square foot,L/T,false,derived,m3/(s.m2),DERIVED,true,0,0.00454609,5.5741824,0,,
gal[US]/(h.ft2),US gallon per hour square foot,L/T,false,derived,m3/(s.m2),DERIVED,true,0,0.003785411784,334.450944,0,,
